sku,parentSku,status,sourceUrl,mismatchFields,modelLocal,modelMb01,priceLocal,priceMb01,parametersResult,descriptionResult,primaryImageResult,galleryImagesResult,galleryOrderResult
"011950130","011950130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb30-368","[""galleryImages"",""galleryOrder""]","SB30-PWMS-WH","SB30-PWMS-WH","{""amount"":322,""currency"":""CAD""}","{""amount"":322,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011950230","011950130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb30-368","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","SB30-PWMS-LG","SB30-PWMS-LG","{""amount"":322,""currency"":""CAD""}","{""amount"":322,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011960130","011960130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb33-369","[""galleryImages"",""galleryOrder""]","SB33-PWMS-WH","SB33-PWMS-WH","{""amount"":341,""currency"":""CAD""}","{""amount"":341,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011960230","011960130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb33-369","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","SB33-PWMS-LG","SB33-PWMS-LG","{""amount"":341,""currency"":""CAD""}","{""amount"":341,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011970130","011970130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb36-370","[""galleryImages"",""galleryOrder""]","SB36-PWMS-WH","SB36-PWMS-WH","{""amount"":360,""currency"":""CAD""}","{""amount"":360,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011970230","011970130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb36-370","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","SB36-PWMS-LG","SB36-PWMS-LG","{""amount"":360,""currency"":""CAD""}","{""amount"":360,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"012710130","012710130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db12-272","[""galleryImages"",""galleryOrder""]","3DB12-PWMS-WH","3DB12-PWMS-WH","{""amount"":467,""currency"":""CAD""}","{""amount"":467,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012710230","012710130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db12-272","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB12-PWMS-LG","3DB12-PWMS-LG","{""amount"":467,""currency"":""CAD""}","{""amount"":467,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"012720130","012720130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db15-273","[""galleryImages"",""galleryOrder""]","3DB15-PWMS-WH","3DB15-PWMS-WH","{""amount"":496,""currency"":""CAD""}","{""amount"":496,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012720230","012720130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db15-273","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","3DB15-PWMS-LG","3DB15-PWMS-LG","{""amount"":496,""currency"":""CAD""}","{""amount"":496,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
